Uniprot	Genename
A0A1S3SAB7	LOC106608095
B5DH26	ATP6
A0A1S3SDJ8	LOC106608798
A0A1S3Q3X4	LOC106589338
A0A1S3KMC0	LOC106560906
A0A1S3PZE7	LOC106588461
A0A1S3RSY8	LOC106604584
A0A1S3NKB3	LOC106579947
A0A1S3MLR4	etfa
A0A060WSI2	GSONMT00029047001
A0A1S3SD82	tmem256
A0A1S3SFH2	LOC106609135
A0A1S3L9Y9	LOC106565263
A0A060X0U5	GSONMT00030329001
C0HBQ9	UBE2F
A0A1S3MG08	LOC106572324
A0A060Z2S6	GSONMT00027069001
A0A1S3LQA9	LOC106567699
A0A060W823	LOC110500198
A0A060W3Y0	tap2a
A0A060ZI05	GSONMT00005733001
A0A1S3KL06	LOC106560690
A0A060XV57	TOM1
A0A060XX44	LOC110536362
A0A060YK80	GSONMT00030941001
A0A1S3LJE4	LOC106566777
B5X4A7	ANGT
C0H9A6	DAPK3
A0A061AD33	GSONMT00025273001
A0A060XAY1	GSONMT00020504001
A0A1S3QHM1	LOC106592729
A0A1S3S6T0	LOC106607533
A0A1S3Q9L4	LOC106590302
A0A060W867	LOC110506856
B5X767	QCR7
B5X0V6	VP26A
A0A060WTK7	dnajc3
A0A060W3Y6	GSONMT00066280001
A0A060Z9F8	GSONMT00020107001
A0A1S3R756	amdhd2
A0A060XH96	GSONMT00047175001
A0A060WR23	LOC110513517
A0A060XAN4	GSONMT00032974001
A0A060Z6U9	GSONMT00029665001
A0A1S3QMA8	enpp5
C1BGQ1	FA36A
A0A1S3LJM3	vps13d
A0A1S3LHS6	LOC106566707
A0A1S3PTI0	LOC106587279
A0A1S3S7P4	col12a1
A0A1S3QWE4	LOC106597800
A0A1S3RR04	aga
A0A060YD01	GSONMT00058401001
A0A060X2R5	GSONMT00017466001
A0A1S3QLG5	LOC106593976
A0A060W734	LOC110494195
A0A060YIY7	GSONMT00054014001
A0A060W5N9	GSONMT00067041001
A0A1S3QL60	LOC106593947
A0A060Y2G9	GSONMT00043079001
A0A060YCE5	GSONMT00044168001
A0A1S3KTJ0	LOC106561980
A0A060YXW4	GSONMT00001458001
B5X6M4	TMED2
A0A1S3L5U2	LOC106564348
A0A060VPZ2	GSONMT00066477001
A0A1S3LRB3	LOC106568039
A0A060YMZ8	GSONMT00035886001
A0A060X8Z8	GSONMT00022179001
A0A060YB67	GSONMT00025303001
A0A060VMZ5	GSONMT00077847001
A0A1S3LSF7	LOC106568201
A0A1S3QJ49	LOC106592975
A0A1S3RGW8	LOC106602974
A0A060YW98	GSONMT00015531001
A0A1S3R1M9	LOC106599166
A0A1S3NCU0	idi1
B5X5Y8	RU1C
A0A060XYL7	GSONMT00056342001
A0A1S3PRM8	mak16
A0A1S3M6N2	hmgcr
A0A1S3SR96	ddo
A0A060WIG7	GSONMT00076435001
A0A060W3N7	GSONMT00080720001
A0A060YK03	GSONMT00017746001
A0A060YHM0	GSONMT00012770001
A0A060XVC0	GSONMT00035254001
A0A060XJW6	GSONMT00003075001
A0A060YJD7	GSONMT00036067001
A0A1S3R2A4	LOC106599719
A0A060W443	GSONMT00079608001
A0A1S3S3L0	LOC106606967
B5X8A9	RS3
A0A060YDX1	GSONMT00010119001
B9ENC1	NUDT5
A0A1S3P981	LOC106583951
A0A1S3Q6G4	LOC106589763
A0A1S3Q1Z3	col1a2
A0A060X0U9	GSONMT00030339001
A0A1S3QF37	LOC106591823
A0A061A4H9	GSONMT00011286001
A0A060WMV8	GSONMT00030631001
A0A060XNN4	GSONMT00023424001
A0A1S3M557	LOC106570375
A0A1S3SJV1	LOC106610028
A0A060YG27	GSONMT00008860001
A0A1S3PUT7	LOC106587268
A0A060W6U5	GSONMT00067884001
A0A060YEB2	GSONMT00003413001
A0A060YJ02	GSONMT00015547001
A0A060VTH8	GSONMT00077864001
B5DFY3	ndufb9
B9ELV5	ARF4
B5X1Z4	CJ033
A0A060VQ02	GSONMT00067781001
B5X2H9	CAZA1
A0A060Z627	GSONMT00000848001
A0A060WKQ1	GSONMT00044416001
A0A060WVK9	LOC110535921
A0A060WUI1	ALDOA
A0A060W1D0	GSONMT00064479001
B5X1M6	THIC
A0A060VU58	GSONMT00077644001
B5XCW3	TDX
A0A1S3M8J5	LOC106571245
A0A060VQG7	GSONMT00068426001
B9EPB6	CSN6
A0A1S3PEV9	LOC106584976
A0A060XF85	GSONMT00022650001
A0A1S3RE68	LOC106602125
A0A060YGV9	GSONMT00037871001
B5X4T2	PROF2
